"","Organism.name","Year","Source","Taxon","Assembly"
"acip","Acidovorax sp. P4","2017","GenBank","553814","GCA_002157125.1"
"acin","Acidovorax sp. NA3","2017","GenBank","553814","GCA_002157145.1"
"acis","Acidovorax sp. P3","2017","GenBank","553814","GCA_002157185.1"
"vei","Verminephrobacter eiseniae","2007","GenBank","391735","GCA_000015565.1"
"dac","Delftia acidovorans","2007","GenBank","398578","GCA_000018665.1"
"del","Delftia sp. Cs1-4","2011","GenBank","742013","GCA_000214395.1"
"dts","Delftia tsuruhatensis","2016","GenBank","180282","GCA_001753225.1"
"dhk","Delftia sp. HK171","2017","GenBank","1920191","GCA_001886655.1"
"vap","Variovorax paradoxus S110","2009","GenBank","543728","GCA_000023345.1"
"vpe","Variovorax paradoxus EPS","2011","GenBank","595537","GCA_000184745.1"
"vpd","Variovorax paradoxus B4","2013","GenBank","1246301","GCA_000463015.1"
"vaa","Variovorax sp. PAMC 28711","2016","GenBank","1795631","GCA_001577265.1"
"vbo","Variovorax boronicumulans","2017","GenBank","436515","GCA_002291405.1"
"vam","Variovorax sp. PMC12","2018","GenBank","2126319","GCA_003019815.1"
"ctt","Comamonas testosteroni CNB-2","2009","GenBank","363952","GCA_000093145.2"
"ctes","Comamonas testosteroni TK102","2014","GenBank","1392005","GCA_000739375.1"
"cke","Comamonas kerstersii","2017","GenBank","225992","GCA_002056725.1"
"cser","Comamonas serinivorans","2017","GenBank","1082851","GCA_002158865.1"
"adn","Alicycliphilus denitrificans BC","2011","GenBank","596153","GCA_000179015.2"
"adk","Alicycliphilus denitrificans K601","2011","GenBank","596154","GCA_000204645.1"
"rta","Ramlibacter tataouinensis","2011","GenBank","365046","GCA_000215705.1"
"cbx","Symbiobacter mobilis","2013","GenBank","946483","GCA_000477435.1"
"oto","Ottowia sp. oral taxon 894","2015","GenBank","1658672","GCA_001262075.1"
"otk","Ottowia sp. KADR8-3","2018","GenBank","2109914","GCA_003008535.1"
"lim","Limnohabitans sp. 103DPR2","2016","GenBank","1678129","GCA_001412575.1"
"lih","Limnohabitans sp. 63ED37-2","2016","GenBank","1678128","GCA_001412535.1"
"hyr","Hydrogenophaga sp. RAC07","2016","GenBank","1842537","GCA_001713375.1"
"hyb","Hydrogenophaga sp. PBC","2016","GenBank","795665","GCA_000263795.2"
"hyl","Hydrogenophaga sp. LPB0072","2016","GenBank","1763535","GCA_001761385.1"
"dpy","Diaphorobacter polyhydroxybutyrativorans","2017","GenBank","1546149","GCA_002214645.1"
"simp","Simplicispira sp. SC1-8","2018","GenBank","2109915","GCA_003008595.1"
"melm","Melaminivora sp. SC2-7","2018","GenBank","2116657","GCA_003013695.1"
"mela","Melaminivora sp. SC2-9","2018","GenBank","2109913","GCA_003008575.1"
"cbaa","Comamonadaceae bacterium A1","2015","GenBank","1458425","GCA_000828895.1"
"cbab","Comamonadaceae bacterium B1","2015","GenBank","1458426","GCA_000828915.1"
"mpt","Methylibium petroleiphilum","2007","GenBank","420662","GCA_000015725.1"
"har","Herminiimonas arsenicoxydans","2007","GenBank","204773","GCA_000026125.1"
"mms","Janthinobacterium sp. Marseille","2007","GenBank","375286","GCA_000013625.1"
"jag","Janthinobacterium agaricidamnosum","2014","GenBank","1349767","GCA_000723165.1"
"jab","Janthinobacterium sp. B9-8","2016","GenBank","1236179","GCA_000969645.2"
"jaz","Janthinobacterium sp. 1_2014MBL_MicDiv","2016","GenBank","1644131","GCA_001865675.1"
"jal","Janthinobacterium sp. LM6","2017","GenBank","1938606","GCA_002002885.1"
"jsv","Janthinobacterium svalbardensis","2017","GenBank","368607","GCA_002327145.1"
"hse","Herbaspirillum seropedicae SmR1","2010","GenBank","757424","GCA_000143225.1"
"hsz","Herbaspirillum seropedicae Z67","2016","GenBank","964","GCA_001040945.1"
"hht","Herbaspirillum hiltneri","2015","GenBank","1262470","GCA_001267925.1"
"hrb","Herbaspirillum rubrisubalbicans","2016","GenBank","1078773","GCA_001483945.1"
"hee","Herbaspirillum sp. meg3","2017","GenBank","2025949","GCA_002257565.1"
"zin","Candidatus Zinderia insecticola","2010","GenBank","871271","GCA_000147015.1"
"cfu","Collimonas fungivorans","2011","GenBank","1005048","GCA_000221045.1"
"care","Collimonas arenae","2015","GenBank","279058","GCA_000786695.1"
"cpra","Collimonas pratensis","2016","GenBank","279113","GCA_001584185.1"
"mnr","Massilia sp. NR 4-1","2015","GenBank","1678028","GCA_001191005.1"
"masw","Massilia sp. WG5","2016","GenBank","1707785","GCA_001412595.2"
"mass","Massilia sp. B2","2017","GenBank","2045208","GCA_002752675.1"
"masz","Massilia sp. ZMN-3","2018","GenBank","2072590","GCA_003028855.1"
"ofo","Oxalobacter formigenes","2017","GenBank","847","GCA_002127965.1"
"lch","Leptothrix cholodnii","2008","GenBank","395495","GCA_000019785.1"
"tin","Thiomonas intermedia","2010","GenBank","75379","GCA_000092605.1"
"thi","Thiomonas arsenitoxydans","2012","GenBank","426114","GCA_000253115.1"
"rge","Rubrivivax gelatinosus","2012","GenBank","983917","GCA_000284255.1"
"rbn","Rubrivivax benzoatilyticus","2016","GenBank","987059","GCA_000190375.2"
"rdp","Roseateles depolymerans","2016","GenBank","76731","GCA_001483865.1"
"pkt","Paucibacter sp. KCTC 42545","2016","GenBank","1768242","GCA_001477625.1"
"miu","Mitsuaria sp. 7","2016","GenBank","1658665","GCA_001653795.1"
"rgu","Rhizobacter gummiphilus","2017","GenBank","946333","GCA_002116905.1"
"bbag","Burkholderiales bacterium GJ-E10","2015","GenBank","1469502","GCA_000828975.1"
"bbay","Burkholderiales bacterium YL45","2017","GenBank","1834205","GCA_001688905.2"
"pbh","Polyangium brachysporum","2016","GenBank","413882","GCA_001017435.1"
"neu","Nitrosomonas europaea","2003","GenBank","228410","GCA_000009145.1"
"net","Nitrosomonas eutropha","2006","GenBank","335283","GCA_000014765.1"
"nit","Nitrosomonas sp. AL212","2011","GenBank","153948","GCA_000175095.2"
"nii","Nitrosomonas sp. Is79A3","2011","GenBank","261292","GCA_000219585.1"
"nco","Nitrosomonas communis","2015","GenBank","44574","GCA_001007935.1"
"nur","Nitrosomonas ureae","2016","GenBank","44577","GCA_001455205.1"
"nmu","Nitrosospira multiformis","2005","GenBank","323848","GCA_000196355.1"
"nlc","Nitrosospira lacus","2017","GenBank","1288494","GCA_000355765.4"
"shd","Sulfuritalea hydrogenivorans","2015","GenBank","1223802","GCA_000828635.1"
"metr","Methyloversatilis sp. RAC08","2016","GenBank","1842540","GCA_001713355.1"
"tbd","Thiobacillus denitrificans","2005","GenBank","292415","GCA_000012745.1"
"mfa","Methylobacillus flagellatus","2006","GenBank","265072","GCA_000013705.1"
"mmb","Methylotenera mobilis","2009","GenBank","583345","GCA_000023705.1"
"meh","Methylotenera versatilis","2010","GenBank","666681","GCA_000093025.1"
"mei","Methylovorus glucosetrophus","2009","GenBank","582744","GCA_000023745.1"
"mep","Methylovorus sp. MP688","2010","GenBank","887061","GCA_000183115.1"
"mbac","Candidatus Methylopumilus turicensis","2015","GenBank","1581680","GCA_000953015.1"
"mbat","Candidatus Methylopumilus planktonicus","2015","GenBank","1581557","GCA_000981505.1"
"meu","Methylophilus sp. TWE2","2015","GenBank","1662285","GCA_001183865.1"
"slt","Sideroxydans lithotrophicus","2010","GenBank","580332","GCA_000025705.1"
"gca","Gallionella capsiferriformans","2010","GenBank","395494","GCA_000145255.1"
"sdr","Sulfuricella denitrificans","2013","GenBank","1163617","GCA_000297055.2"
"sulf","Sulfuriferula sp. AH1","2017","GenBank","1985873","GCA_002162035.1"
"eba","Aromatoleum aromaticum","2004","GenBank","76114","GCA_000025965.1"
"dsu","Dechlorosoma suillum","2012","GenBank","640081","GCA_000236665.1"
"rbu","Rugosibacter aromaticivorans","2015","GenBank","1565605","GCA_000934545.1"
"dar","Dechloromonas aromatica","2005","GenBank","159087","GCA_000012425.1"
"azo","Azoarcus sp. BH72","2006","GenBank","62928","GCA_000061505.1"
"aza","Azoarcus sp. KH32C","2013","GenBank","748247","GCA_000349945.1"
"azi","Azoarcus sp. CIB","2015","GenBank","198107","GCA_001190925.1"
"aoa","Azoarcus olearius","2016","GenBank","418699","GCA_001682385.1"
"atw","Azoarcus sp. SY39","2018","GenBank","2067960","GCA_002872475.1"
"tmz","Thauera sp. MZ1T","2008","GenBank","85643","GCA_000021765.1"
"thu","Thauera humireducens","2016","GenBank","1134435","GCA_001051995.2"
"tcl","Thauera chlorobenzoica","2017","GenBank","96773","GCA_001922305.1"
"thk","Thauera sp. K11","2017","GenBank","2005884","GCA_002354895.1"
"tak","Thauera aromatica","2018","GenBank","44139","GCA_003030465.1"
"app","Accumulibacter phosphatis","2009","GenBank","522306","GCA_000024165.1"
"tpn","Candidatus Tremblaya princeps PCIT","2011","GenBank","891398","GCA_000219195.1"
"tpq","Candidatus Tremblaya princeps PCVAL","2012","GenBank","1053648","GCA_000220965.1"
"tpj","Candidatus Tremblaya phenacola","2013","GenBank","1266371","GCA_000412755.1"
"kci","Candidatus Kinetoplastibacterium crithidii (ex Angomonas deanei ATCC 30255)","2013","GenBank","1267577","GCA_000319225.1"
"kct","Candidatus Kinetoplastibacterium crithidii TCC036E","2013","GenBank","1208918","GCA_000340825.1"
"kbl","Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis)","2013","GenBank","1208923","GCA_000319245.1"
"kbt","Candidatus Kinetoplastibacterium blastocrithidii TCC012E","2013","GenBank","1208922","GCA_000340925.1"
"kde","Candidatus Kinetoplastibacterium desouzaii","2013","GenBank","1208919","GCA_000340795.1"
"kga","Candidatus Kinetoplastibacterium galatii","2013","GenBank","1208921","GCA_000340905.1"
"kon","Candidatus Kinetoplastibacterium oncopeltii","2013","GenBank","1208920","GCA_000340865.1"
"ssdc","Candidatus Profftella armatura","2013","GenBank","669502","GCA_000441555.1"
"ndl","Candidatus Nasuia deltocephalinicola","2013","GenBank","1343077","GCA_000442605.1"
"bprc","Beta proteobacterium CB","2013","GenBank","543913","GCA_000342265.1"
"beb","Betaproteobacteria bacterium UKL13-2","2016","GenBank","1690485","GCA_001602455.1"
"beba","Betaproteobacteria bacterium GR16-43","2017","GenBank","1904640","GCA_001953215.1"
"hpy","Helicobacter pylori 26695","1997","RefSeq","85962","GCF_000008525.1"
"heo","Helicobacter pylori 26695","2012","GenBank","85962","GCA_000307795.1"
"hpj","Helicobacter pylori J99","1999","GenBank","85963","GCA_000008785.1"
"hpa","Helicobacter pylori HPAG1","2006","GenBank","357544","GCA_000013245.1"
"hps","Helicobacter pylori Shi470","2008","GenBank","512562","GCA_000020245.1"
"hhp","Helicobacter pylori Shi112","2012","GenBank","1163740","GCA_000277405.1"
"hhq","Helicobacter pylori Shi169","2012","GenBank","1163741","GCA_000277385.1"
"hhr","Helicobacter pylori Shi417","2012","GenBank","1163739","GCA_000277365.1"
"hpg","Helicobacter pylori G27","2008","GenBank","563041","GCA_000021165.1"
"hpp","Helicobacter pylori P12","2008","GenBank","570508","GCA_000021465.1"
"hpb","Helicobacter pylori B38","2009","GenBank","592205","GCA_000091345.1"
"hpl","Helicobacter pylori B8","2010","GenBank","693745","GCA_000196755.1"
"hpc","Helicobacter pylori PeCan4","2010","GenBank","765963","GCA_000148875.1"
"hca","Helicobacter pylori PeCan18","2012","GenBank","1163742","GCA_000277425.1"
"hpm","Helicobacter pylori SJM180","2010","GenBank","765962","GCA_000148855.1"
"hpe","Helicobacter pylori ELS37","2012","GenBank","1055527","GCA_000255955.1"
"hpo","Helicobacter pylori 35A","2012","GenBank","585535","GCA_000178935.2"
"hpi","Helicobacter pylori 908","2012","GenBank","869727","GCA_000148665.1"
"hpq","Helicobacter pylori 2017","2012","GenBank","985081","GCA_000192315.1"
"hpw","Helicobacter pylori 2018","2012","GenBank","985080","GCA_000192335.1"
"hpu","Helicobacter pylori Cuz20","2012","GenBank","765964","GCA_000148895.1"
"hef","Helicobacter pylori F16","2012","GenBank","866344","GCA_000270005.1"
"hpf","Helicobacter pylori F30","2012","GenBank","866345","GCA_000270025.1"
"heq","Helicobacter pylori F32","2012","GenBank","102608","GCA_000270045.1"
"hex","Helicobacter pylori F57","2012","GenBank","866346","GCA_000270065.1"
"hpt","Helicobacter pylori Sat464","2012","GenBank","794851","GCA_000148915.1"
"hpz","Helicobacter pylori 52","2012","GenBank","684950","GCA_000023805.1"
"hpv","Helicobacter pylori v225d","2012","GenBank","637913","GCA_000093185.1"
"hpx","Helicobacter pylori 83","2012","GenBank","585538","GCA_000213135.1"
"hen","Helicobacter pylori SNT49","2012","GenBank","1055530","GCA_000224575.1"
"hph","Helicobacter pylori Lithuania75","2012","GenBank","907237","GCA_000185225.1"
"heg","Helicobacter pylori Gambia94/24","2012","GenBank","907240","GCA_000185205.1"
"hpn","Helicobacter pylori India7","2012","GenBank","907238","GCA_000185185.1"
"hep","Helicobacter pylori Puno120","2012","GenBank","1055528","GCA_000224535.1"
"heu","Helicobacter pylori Puno135","2012","GenBank","1055529","GCA_000224555.1"
"hes","Helicobacter pylori SouthAfrica7","2012","GenBank","907239","GCA_000185245.1"
"hpys","Helicobacter pylori SouthAfrica20","2013","GenBank","1352356","GCA_000590775.1"
"hcn","Helicobacter pylori HUP-B14","2012","GenBank","1163743","GCA_000259235.1"
"hpd","Helicobacter pylori 51","2012","GenBank","290847","GCA_000011725.1"
"hey","Helicobacter pylori XZ274","2012","GenBank","1127122","GCA_000262655.1"
"her","Helicobacter pylori Rif1","2012","GenBank","1234365","GCA_000307815.1"
"hei","Helicobacter pylori Rif2","2012","GenBank","1234600","GCA_000307835.1"
"hpya","Helicobacter pylori Aklavik117","2012","GenBank","1055531","GCA_000315955.1"
"hpyk","Helicobacter pylori Aklavik86","2012","GenBank","1055532","GCA_000317875.1"
"hpyo","Helicobacter pylori OK113","2013","GenBank","1248725","GCA_000348865.1"
"hpyl","Helicobacter pylori OK310","2013","GenBank","1248726","GCA_000348885.1"
"hpyb","Helicobacter pylori oki102","2014","GenBank","1382920","GCA_000600045.1"
"hpyc","Helicobacter pylori oki112","2015","GenBank","1382921","GCA_000600085.1"
"hpyd","Helicobacter pylori oki128","2015","GenBank","1382922","GCA_000600125.1"
"hpye","Helicobacter pylori oki154","2015","GenBank","1382923","GCA_000600145.1"
"hpyf","Helicobacter pylori oki422","2015","GenBank","1382924","GCA_000600165.1"
"hpyg","Helicobacter pylori oki673","2015","GenBank","1382925","GCA_000600185.1"
"hpyh","Helicobacter pylori oki828","2015","GenBank","1382926","GCA_000600205.1"
"hpyj","Helicobacter pylori oki898","2015","GenBank","1382927","GCA_000600225.1"
"hpyr","Helicobacter pylori UM032","2013","GenBank","1311573","GCA_000392455.3"
"hpyi","Helicobacter pylori UM037","2013","GenBank","1321939","GCA_000392515.3"
"hpyu","Helicobacter pylori UM066","2013","GenBank","1321940","GCA_000392535.3"
"hpym","Helicobacter pylori UM299","2013","GenBank","1321938","GCA_000392475.3"
"hem","Helicobacter pylori UM298","2013","GenBank","1321941","GCA_000439295.2"
"heb","Helicobacter pylori BM012A","2013","GenBank","1407462","GCA_000498315.1"
"hez","Helicobacter pylori BM012S","2013","GenBank","1407463","GCA_000498335.1"
"hhe","Helicobacter hepaticus","2003","GenBank","235279","GCA_000007905.1"
"hac","Helicobacter acinonychis","2006","GenBank","382638","GCA_000009305.1"
"hms","Helicobacter mustelae","2010","GenBank","679897","GCA_000091985.1"
"hfe","Helicobacter felis","2010","GenBank","936155","GCA_000200595.1"
"hbi","Helicobacter bizzozeronii","2011","GenBank","1002804","GCA_000237285.1"
"hce","Helicobacter cetorum MIT 00-7128","2012","GenBank","182217","GCA_000259255.1"
"hcm","Helicobacter cetorum MIT 99-5656","2012","GenBank","1163745","GCA_000259275.1"
"hcp","Helicobacter cinaedi PAGU611","2012","GenBank","1172562","GCA_000284635.1"
"hcb","Helicobacter cinaedi ATCC BAA-847","2013","GenBank","537971","GCA_000349975.1"
"hhm","Helicobacter heilmannii","2013","GenBank","1216962","GCA_000319205.1"
"hty","Helicobacter typhlonius","2016","GenBank","76936","GCA_001460635.1"
"hbl","Helicobacter bilis","2017","GenBank","37372","GCA_001999985.1"
"wsu","Wolinella succinogenes","2003","GenBank","273121","GCA_000196135.1"
"tdn","Sulfurimonas denitrificans","2005","GenBank","326298","GCA_000012965.1"
"sua","Sulfurimonas autotrophica","2010","GenBank","563040","GCA_000147355.1"
"sku","Sulfuricurvum kujiense","2010","GenBank","709032","GCA_000183725.1"
"sulr","Candidatus Sulfuricurvum sp. RIFRC-1","2013","GenBank","1249480","GCA_000310245.1"
"cje","Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819","2000","RefSeq","192222","GCF_000009085.1"
"cjb","Campylobacter jejuni subsp. jejuni NCTC 11168-BN148","2012","GenBank","1211776","GCA_000304375.1"
"cjj","Campylobacter jejuni subsp. jejuni 81-176","2007","GenBank","354242","GCA_000015525.1"
"cju","Campylobacter jejuni subsp. jejuni 81116","2007","GenBank","407148","GCA_000017905.1"
"cjn","Campylobacter jejuni subsp. jejuni ICDCCJ07001","2010","GenBank","757425","GCA_000184085.1"
"cji","Campylobacter jejuni subsp. jejuni IA3902","2012","GenBank","567106","GCA_000025425.1"
"cjm","Campylobacter jejuni subsp. jejuni M1","2012","GenBank","645464","GCA_000148705.1"
"cjs","Campylobacter jejuni subsp. jejuni S3","2012","GenBank","718271","GCA_000184205.1"
"cjp","Campylobacter jejuni subsp. jejuni PT14","2012","GenBank","1201032","GCA_000302555.4"
"cjej","Campylobacter jejuni subsp. jejuni 00-2426","2013","GenBank","1380767","GCA_000466105.2"
"cjeu","Campylobacter jejuni subsp. jejuni 00-2538","2013","GenBank","1380768","GCA_000466065.2"
"cjen","Campylobacter jejuni subsp. jejuni 00-2544","2013","GenBank","1383068","GCA_000466075.2"
"cjei","Campylobacter jejuni subsp. jejuni 00-2425","2013","GenBank","1357994","GCA_000468915.2"
"cjer","Campylobacter jejuni subsp. jejuni R14","2014","GenBank","1295010","GCA_000632435.1"
"cjv","Campylobacter jejuni subsp. jejuni MTVDSCj20","2014","GenBank","32022","GCA_000737085.1"
"cjy","Campylobacter jejuni subsp. jejuni YH001","2015","GenBank","32022","GCA_000807355.1"
"cjq","Campylobacter jejuni subsp. jejuni 35925B2","2015","GenBank","32022","GCA_000934305.1"
"cjl","Campylobacter jejuni subsp. jejuni 00-1597","2015","GenBank","32022","GCA_000835285.1"
"cjw","Campylobacter jejuni subsp. jejuni 00-6200","2015","GenBank","32022","GCA_000835305.1"
"cjr","Campylobacter jejuni RM1221","2005","GenBank","195099","GCA_000011865.1"
"cjd","Campylobacter jejuni subsp. doylei 269.97","2007","GenBank","360109","GCA_000017485.1"
"cjz","Campylobacter jejuni 32488","2013","GenBank","1338035","GCA_000430385.1"
"cjx","Campylobacter jejuni 4031","2013","GenBank","1347340","GCA_000493495.1"
"cff","Campylobacter fetus subsp. fetus 82-40","2006","GenBank","360106","GCA_000015085.1"
"cft","Campylobacter fetus subsp. fetus 04/554","2014","GenBank","1240980","GCA_000759485.1"
"cfv","Campylobacter fetus subsp. venerealis cfvi03/293","2014","GenBank","1273266","GCA_000512745.2"
"cfx","Campylobacter fetus subsp. venerealis 97/608","2014","GenBank","1093099","GCA_000759515.1"
"cfz","Campylobacter fetus subsp. venerealis 84-112","2015","GenBank","688354","GCA_000967135.1"
"camp","Campylobacter fetus subsp. testudinum 03-427","2013","GenBank","1244528","GCA_000495505.1"
"cfp","Campylobacter fetus subsp. testudinum pet-3","2015","GenBank","1507806","GCA_000814265.1"
"ccv","Campylobacter curvus","2007","GenBank","360105","GCA_000017465.2"
"cha","Campylobacter hominis","2007","GenBank","360107","GCA_000017585.1"
"cco","Campylobacter concisus 13826","2007","GenBank","360104","GCA_000017725.2"
"ccoc","Campylobacter concisus ATCC 33237","2017","GenBank","199","GCA_001298465.1"
"cla","Campylobacter lari RM2100","2009","GenBank","306263","GCA_000019205.1"
"clr","Campylobacter lari RM16701","2015","GenBank","1453989","GCA_000816405.1"
"clm","Campylobacter lari RM16712","2015","GenBank","1453988","GCA_000816425.1"
"clq","Campylobacter lari CCUG 22395","2015","GenBank","1388750","GCA_000816385.2"
"cln","Campylobacter lari NCTC 11845","2015","GenBank","1388749","GCA_000816365.1"
"cll","Campylobacter lari subsp. concheus LMG 11760","2015","GenBank","1031536","GCA_000816225.1"
"ccol","Campylobacter coli 76339","2013","GenBank","1367491","GCA_000470055.1"
"ccc","Campylobacter coli CVM N29710","2013","GenBank","1273173","GCA_000465235.1"
"ccq","Campylobacter coli 15-537360","2013","GenBank","1358410","GCA_000494775.1"
"ccf","Campylobacter coli RM1875","2014","GenBank","1183378","GCA_000583755.1"
"ccy","Campylobacter coli RM4661","2014","GenBank","1183379","GCA_000583775.1"
"ccoi","Campylobacter coli RM5611","2014","GenBank","1183380","GCA_000583795.1"
"ccof","Campylobacter coli FB1","2015","GenBank","195","GCA_000954195.1"
"ccoo","Campylobacter coli OR12","2016","GenBank","195","GCA_001483845.1"
"caj","Campylobacter iguaniorum","2014","GenBank","1244531","GCA_000736415.1"
"cis","Campylobacter insulaenigrae","2015","GenBank","1031564","GCA_000816185.1"
"cvo","Campylobacter volucris","2015","GenBank","580033","GCA_000816345.1"
"cpel","Campylobacter peloridis","2015","GenBank","1388753","GCA_000816785.1"
"camr","Campylobacter sp. RM16704","2015","GenBank","1500960","GCA_000816245.1"
"csm","Campylobacter subantarcticus LMG 24374","2015","GenBank","1388751","GCA_000816265.1"
"csf","Campylobacter subantarcticus LMG 24377","2015","GenBank","1388752","GCA_000816305.1"
"cgra","Campylobacter gracilis","2015","GenBank","824","GCA_001190745.1"
"cure","Campylobacter ureolyticus","2015","GenBank","1032069","GCA_001190755.1"
"chyo","Campylobacter hyointestinalis","2017","GenBank","1031746","GCA_001643955.1"
"chv","Campylobacter helveticus","2017","GenBank","28898","GCA_002080395.1"
"cspf","Campylobacter sputorum","2017","GenBank","1031920","GCA_002220735.1"
"cpin","Campylobacter pinnipediorum","2017","GenBank","1874362","GCA_002021985.1"
"ccun","Campylobacter cuniculorum","2017","GenBank","1121267","GCA_002104335.1"
"clx","Campylobacter lanienae","2017","GenBank","1031753","GCA_002139935.1"
"abu","Arcobacter butzleri RM4018","2007","GenBank","367737","GCA_000014025.1"
"abt","Arcobacter butzleri ED-1","2012","GenBank","944546","GCA_000284355.1"
"abl","Arcobacter butzleri 7h1h","2013","GenBank","1036172","GCA_000215345.3"
"ant","Arcobacter nitrofigilis","2010","GenBank","572480","GCA_000092245.1"
"arc","Arcobacter sp. L","2012","GenBank","944547","GCA_000284235.1"
"alp","Arcobacter sp. LPB0137","2017","GenBank","1850254","GCA_001956695.1"
"sdl","Sulfurospirillum deleyianum","2009","GenBank","525898","GCA_000024885.1"
"sba","Sulfurospirillum barnesii","2012","GenBank","760154","GCA_000265295.1"
"smul","Sulfurospirillum multivorans","2014","GenBank","1150621","GCA_000568815.1"
"shal","Sulfurospirillum halorespirans","2016","GenBank","1193502","GCA_001723605.1"
"suls","Sulfurospirillum sp. SL2-1","2017","GenBank","1986224","GCA_002162315.1"
"sulj","Sulfurospirillum sp. JPD-1","2017","GenBank","220622","GCA_002309535.1"
"nsa","Nitratifractor salsuginis","2011","GenBank","749222","GCA_000186245.1"
"nis","Nitratiruptor sp. SB155-2","2007","GenBank","387092","GCA_000010325.1"
"sun","Sulfurovum sp. NBC37-1","2007","GenBank","387093","GCA_000010345.1"
"slh","Sulfurovum lithotrophicum","2015","GenBank","206403","GCA_000987835.1"
"nam","Nautilia profundicola","2009","GenBank","598659","GCA_000021725.1"
"gsu","Geobacter sulfurreducens PCA","2003","RefSeq","243231","GCF_000007985.2"
"gsk","Geobacter sulfurreducens KN400","2012","GenBank","663917","GCA_000210155.1"
"gme","Geobacter metallireducens","2005","GenBank","269799","GCA_000012925.1"
"gur","Geobacter uraniireducens","2007","GenBank","351605","GCA_000016745.1"
"glo","Geobacter lovleyi","2008","GenBank","398767","GCA_000020385.1"
"gbm","Geobacter bemidjiensis","2008","GenBank","404380","GCA_000020725.1"
"geo","Geobacter daltonii FRC-32","2009","GenBank","316067","GCA_000022265.1"
"gem","Geobacter sp. M21","2009","GenBank","443144","GCA_000023645.1"
"geb","Geobacter sp. M18","2011","GenBank","443143","GCA_000175115.2"
"gpi","Geobacter pickeringii","2015","GenBank","345632","GCA_000817955.1"
"gao","Geobacter anodireducens","2016","GenBank","1340425","GCA_001628815.1"
"gsb","Geoalkalibacter subterraneus","2015","GenBank","483547","GCA_000827125.1"
"pca","Pelobacter carbinolicus","2005","GenBank","338963","GCA_000012885.1"
"ppd","Pelobacter propionicus","2006","GenBank","338966","GCA_000015045.1"
"pace","Pelobacter acetylenicus","2017","GenBank","29542","GCA_001888165.1"
"pef","Pelobacter sp. SFB93","2017","GenBank","1842532","GCA_001887775.1"
"des","Desulfuromonas soudanensis","2015","GenBank","1603606","GCA_001278055.1"
"deu","Desulfuromonas sp. DDH964","2016","GenBank","1823759","GCA_001611275.1"
"dvu","Desulfovibrio vulgaris Hildenborough","2004","RefSeq","882","GCF_000195755.1"
"dvl","Desulfovibrio vulgaris DP4","2007","GenBank","391774","GCA_000015485.1"
"dvm","Desulfovibrio vulgaris Miyazaki F","2009","GenBank","883","GCA_000021385.1"
"dvg","Desulfovibrio vulgaris RCH1","2012","GenBank","573059","GCA_000166115.1"
"dde","Desulfovibrio alaskensis","2005","GenBank","207559","GCA_000012665.1"
"dds","Desulfovibrio desulfuricans ATCC 27774","2009","GenBank","525146","GCA_000022125.1"
"ddn","Desulfovibrio desulfuricans ND132","2012","GenBank","641491","GCA_000189295.2"
"dma","Desulfovibrio magneticus","2009","GenBank","573370","GCA_000010665.1"
"dsa","Desulfovibrio salexigens","2009","GenBank","526222","GCA_000023445.1"
"daf","Desulfovibrio africanus","2012","GenBank","690850","GCA_000212675.2"
"dhy","Desulfovibrio hydrothermalis","2013","GenBank","1121451","GCA_000331025.1"
"dgg","Desulfovibrio gigas","2013","GenBank","1121448","GCA_000468495.1"
"dfi","Desulfovibrio fairfieldensis","2016","GenBank","44742","GCA_001553605.1"
"dpg","Desulfovibrio piger","2017","GenBank","901","GCA_900116045.1"
"def","Desulfovibrio sp. G11","2017","GenBank","631220","GCA_002334685.1"
"das","Pseudodesulfovibrio aespoeensis","2011","GenBank","643562","GCA_000176915.2"
"dpi","Pseudodesulfovibrio piezophilus","2013","GenBank","1322246","GCA_000341895.1"
"dej","Pseudodesulfovibrio indicus","2016","GenBank","1716143","GCA_001563225.1"
"pprf","Pseudodesulfovibrio profundus","2018","GenBank","57320","GCA_900217235.1"
"lip","Lawsonia intracellularis PHE/MN1-00","2006","GenBank","363253","GCA_000055945.1"
"lir","Lawsonia intracellularis N343","2013","GenBank","1234378","GCA_000331715.1"
"dba","Desulfomicrobium baculatum","2009","GenBank","525897","GCA_000023225.1"
"doa","Desulfomicrobium orale","2016","GenBank","888061","GCA_001553625.1"
"drt","Desulfohalobium retbaense","2009","GenBank","485915","GCA_000024325.1"
"dps","Desulfotalea psychrophila","2004","GenBank","177439","GCA_000025945.1"
"dak","Desulfurivibrio alkaliphilus","2010","GenBank","589865","GCA_000092205.1"
"dpr","Desulfobulbus propionicus","2011","GenBank","577650","GCA_000186885.1"
"deo","Desulfobulbus sp. ORNL","2018","GenBank","1986146","GCA_002952055.1"
"dsf","Desulfocapsa sulfexigens","2013","GenBank","1167006","GCA_000341395.1"
"dol","Desulfococcus oleovorans","2007","GenBank","96561","GCA_000018405.1"
"dml","Desulfococcus multivorans","2016","GenBank","897","GCA_001854245.1"
"dal","Desulfatibacillum alkenivorans","2009","GenBank","439235","GCA_000021905.1"
"dat","Desulfobacterium autotrophicum","2009","GenBank","177437","GCA_000020365.1"
