"Organism","Body Site","Project ID","CDS Count","Contig Count","Contig Locus Min","Contig Locus Max","Contig ASM","Contig CDS","Contig PEP","Contig GBK","Scaffold Count","Scaffold Locus Min","Scaffold Locus Max","Scaffold ASM","Scaffold CDS","Scaffold PEP","Scaffold GBK"
"Haemophilus paraphrohaemolyticus HK411","Unknown","75147","2025","78","AJMU01000001","AJMU01000078","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/75147/75147.AJMU01000001-AJMU01000078.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/75147/75147.AJMU01000001-AJMU01000078.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/75147/75147.AJMU01000001-AJMU01000078.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/75147/75147.AJMU01000001-AJMU01000078.nuc.gbk","","","","","","",""
"Fusobacterium ulcerans ATCC 49185","Gastrointestinal_tract","32487","6382","49","ACDH02000001","ACDH02000049","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32487/32487.ACDH02000001-ACDH02000049.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32487/32487.ACDH02000001-ACDH02000049.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32487/32487.ACDH02000001-ACDH02000049.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32487/32487.ACDH02000001-ACDH02000049.nuc.gbk","8","JH815228","JH815235","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32487/32487.JH815228-JH815235.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32487/32487.JH815228-JH815235.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32487/32487.JH815228-JH815235.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32487/32487.JH815228-JH815235.nuc.gbk"
"Capnocytophaga gingivalis ATCC 33624","Oral","31387","2588","37","ACLQ01000001","ACLQ01000037","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31387/31387.ACLQ01000001-ACLQ01000037.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31387/31387.ACLQ01000001-ACLQ01000037.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31387/31387.ACLQ01000001-ACLQ01000037.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31387/31387.ACLQ01000001-ACLQ01000037.nuc.gbk","","","","","","",""
"Streptococcus infantis SK970","Unknown","67191","2144","9","AFUT01000001","AFUT01000009","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/67191/67191.AFUT01000001-AFUT01000009.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/67191/67191.AFUT01000001-AFUT01000009.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/67191/67191.AFUT01000001-AFUT01000009.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/67191/67191.AFUT01000001-AFUT01000009.nuc.gbk","","","","","","",""
"Enterococcus faecium ERV168","Unknown","82035","6362","245","AMAU01000001","AMAU01000245","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/82035/82035.AMAU01000001-AMAU01000245.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/82035/82035.AMAU01000001-AMAU01000245.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/82035/82035.AMAU01000001-AMAU01000245.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/82035/82035.AMAU01000001-AMAU01000245.nuc.gbk","205","JH809628","JH809832","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/82035/82035.JH809628-JH809832.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/82035/82035.JH809628-JH809832.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/82035/82035.JH809628-JH809832.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/82035/82035.JH809628-JH809832.nuc.gbk"
"[Clostridium] clostridioforme 90A8","Unknown","64867","11656","99","AGYR01000001","AGYR01000099","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64867/64867.AGYR01000001-AGYR01000099.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64867/64867.AGYR01000001-AGYR01000099.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64867/64867.AGYR01000001-AGYR01000099.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64867/64867.AGYR01000001-AGYR01000099.nuc.gbk","47","KB850976","KB851022","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64867/64867.KB850976-KB851022.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64867/64867.KB850976-KB851022.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64867/64867.KB850976-KB851022.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64867/64867.KB850976-KB851022.nuc.gbk"
"Finegoldia magna ATCC 29328","Gastrointestinal_tract","18981","1813","","","","","","","","2","AP008971","AP008972","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18981/18981.AP008971.1-AP008972.1.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18981/18981.AP008971.1-AP008972.1.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18981/18981.AP008971.1-AP008972.1.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18981/18981.AP008971.1-AP008972.1.nuc.gbk"
"","Gastrointestinal_tract","41563","","","","","","","","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41563/41563.ADGF00000000.nuc.gbk","","","","","","",""
"Streptococcus constellatus subsp. constellatus SK53","Airways","75127","1825","54","AICQ01000001","AICQ01000054","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/75127/75127.AICQ01000001-AICQ01000054.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/75127/75127.AICQ01000001-AICQ01000054.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/75127/75127.AICQ01000001-AICQ01000054.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/75127/75127.AICQ01000001-AICQ01000054.nuc.gbk","","","","","","",""
"Neisseria lactamica ATCC 23970","Airways","30475","2716","101","ACEQ02000001","ACEQ02000101","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30475/30475.ACEQ02000001-ACEQ02000101.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30475/30475.ACEQ02000001-ACEQ02000101.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30475/30475.ACEQ02000001-ACEQ02000101.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30475/30475.ACEQ02000001-ACEQ02000101.nuc.gbk","","","","","","",""
"Staphylococcus epidermidis NIHLM057","Unknown","62357","2428","104","AKGO01000001","AKGO01000104","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/62357/62357.AKGO01000001-AKGO01000104.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/62357/62357.AKGO01000001-AKGO01000104.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/62357/62357.AKGO01000001-AKGO01000104.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/62357/62357.AKGO01000001-AKGO01000104.nuc.gbk","","","","","","",""
"Propionibacterium acnes J165","Skin","40681","2404","62","ADJL01000001","ADJL01000062","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40681/40681.ADJL01000001-ADJL01000062.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40681/40681.ADJL01000001-ADJL01000062.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40681/40681.ADJL01000001-ADJL01000062.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40681/40681.ADJL01000001-ADJL01000062.nuc.gbk","","","","","","",""
"Enterococcus faecium FB129-CNAB4","Urogenital_tract","52125","5160","22","AGZB01000001","AGZB01000022","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52125/52125.AGZB01000001-AGZB01000022.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52125/52125.AGZB01000001-AGZB01000022.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52125/52125.AGZB01000001-AGZB01000022.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52125/52125.AGZB01000001-AGZB01000022.nuc.gbk","9","JH992913","JH992921","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52125/52125.JH992913-JH992921.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52125/52125.JH992913-JH992921.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52125/52125.JH992913-JH992921.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52125/52125.JH992913-JH992921.nuc.gbk"
"Corynebacterium efficiens YS-314","Skin","34585","6052","137","ACLI01000001","ACLI01000137","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34585/34585.ACLI01000001-ACLI01000137.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34585/34585.ACLI01000001-ACLI01000137.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34585/34585.ACLI01000001-ACLI01000137.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34585/34585.ACLI01000001-ACLI01000137.nuc.gbk","40","GG700683","GG700722","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34585/34585.GG700683-GG700722.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34585/34585.GG700683-GG700722.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34585/34585.GG700683-GG700722.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34585/34585.GG700683-GG700722.nuc.gbk"
"Aggregatibacter segnis ATCC 33393","Oral","53019","3912","19","AEPS01000001","AEPS01000019","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53019/53019.AEPS01000001-AEPS01000019.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53019/53019.AEPS01000001-AEPS01000019.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53019/53019.AEPS01000001-AEPS01000019.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53019/53019.AEPS01000001-AEPS01000019.nuc.gbk","5","GL622200","GL622204","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53019/53019.GL622200-GL622204.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53019/53019.GL622200-GL622204.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53019/53019.GL622200-GL622204.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53019/53019.GL622200-GL622204.nuc.gbk"
"Enterococcus faecalis ERV129","Unknown","81963","6514","116","ALZL01000001","ALZL01000116","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/81963/81963.ALZL01000001-ALZL01000116.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/81963/81963.ALZL01000001-ALZL01000116.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/81963/81963.ALZL01000001-ALZL01000116.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/81963/81963.ALZL01000001-ALZL01000116.nuc.gbk","81","JH806208","JH806288","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/81963/81963.JH806208-JH806288.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/81963/81963.JH806208-JH806288.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/81963/81963.JH806208-JH806288.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/81963/81963.JH806208-JH806288.nuc.gbk"
"Solobacterium moorei F0204","Oral","43121","4070","66","AECQ01000001","AECQ01000066","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/43121/43121.AECQ01000001-AECQ01000066.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/43121/43121.AECQ01000001-AECQ01000066.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/43121/43121.AECQ01000001-AECQ01000066.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/43121/43121.AECQ01000001-AECQ01000066.nuc.gbk","33","GL637642","GL637674","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/43121/43121.GL637642-GL637674.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/43121/43121.GL637642-GL637674.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/43121/43121.GL637642-GL637674.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/43121/43121.GL637642-GL637674.nuc.gbk"
"Blautia hydrogenotrophica DSM 10507","Gastrointestinal_tract","21007","7738","233","ACBZ01000001","ACBZ01000233","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/21007/21007.ACBZ01000001-ACBZ01000233.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/21007/21007.ACBZ01000001-ACBZ01000233.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/21007/21007.ACBZ01000001-ACBZ01000233.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/21007/21007.ACBZ01000001-ACBZ01000233.nuc.gbk","33","GG657678","GG657710","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/21007/21007.GG657678-GG657710.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/21007/21007.GG657678-GG657710.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/21007/21007.GG657678-GG657710.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/21007/21007.GG657678-GG657710.nuc.gbk"
"Staphylococcus lugdunensis ACS-027-V-Sch2","Urogenital_tract","52127","4834","17","AGZW01000001","AGZW01000017","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52127/52127.AGZW01000001-AGZW01000017.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52127/52127.AGZW01000001-AGZW01000017.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52127/52127.AGZW01000001-AGZW01000017.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52127/52127.AGZW01000001-AGZW01000017.nuc.gbk","4","KB373322","KB373325","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52127/52127.KB373322-KB373325.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52127/52127.KB373322-KB373325.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52127/52127.KB373322-KB373325.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52127/52127.KB373322-KB373325.nuc.gbk"
"Prevotella oris C735","Airways","42537","2644","127","ADDV01000001","ADDV01000127","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/42537/42537.ADDV01000001-ADDV01000127.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/42537/42537.ADDV01000001-ADDV01000127.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/42537/42537.ADDV01000001-ADDV01000127.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/42537/42537.ADDV01000001-ADDV01000127.nuc.gbk","57","GL349564","GL349620","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/42537/42537.GL349564-GL349620.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/42537/42537.GL349564-GL349620.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/42537/42537.GL349564-GL349620.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/42537/42537.GL349564-GL349620.nuc.gbk"
"Catenibacterium mitsuokai DSM 15897","Gastrointestinal_tract","19923","2977","475","ACCK01000001","ACCK01000475","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/19923/19923.ACCK01000001-ACCK01000475.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/19923/19923.ACCK01000001-ACCK01000475.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/19923/19923.ACCK01000001-ACCK01000475.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/19923/19923.ACCK01000001-ACCK01000475.nuc.gbk","","","","","","",""
"Streptococcus mitis SK575","Blood","75135","1937","90","AICU01000001","AICU01000090","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/75135/75135.AICU01000001-AICU01000090.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/75135/75135.AICU01000001-AICU01000090.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/75135/75135.AICU01000001-AICU01000090.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/75135/75135.AICU01000001-AICU01000090.nuc.gbk","","","","","","",""
"Streptococcus infantarius subsp. infantarius ATCC BAA-102","Gastrointestinal_tract","20527","4102","22","ABJK02000001","ABJK02000022","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20527/20527.ABJK02000001-ABJK02000022.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20527/20527.ABJK02000001-ABJK02000022.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20527/20527.ABJK02000001-ABJK02000022.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20527/20527.ABJK02000001-ABJK02000022.nuc.gbk","21","DS572674","DS572694","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20527/20527.DS572674-DS572694.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20527/20527.DS572674-DS572694.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20527/20527.DS572674-DS572694.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20527/20527.DS572674-DS572694.nuc.gbk"
"Eubacterium rectale DSM 17629","Gastrointestinal_tract","39159","2898","","","","","","","","1","FP929042","FP929042","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/39159/39159.FP929042.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/39159/39159.FP929042.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/39159/39159.FP929042.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/39159/39159.FP929042.nuc.gbk"
"Prevotella denticola F0289","Oral","49293","2386","","","","","","","","1","CP002589","CP002589","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49293/49293.CP002589.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49293/49293.CP002589.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49293/49293.CP002589.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49293/49293.CP002589.nuc.gbk"
"Anaerococcus hydrogenalis DSM 7454","Gastrointestinal_tract","30747","2069","52","ABXA01000001","ABXA01000052","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30747/30747.ABXA01000001-ABXA01000052.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30747/30747.ABXA01000001-ABXA01000052.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30747/30747.ABXA01000001-ABXA01000052.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30747/30747.ABXA01000001-ABXA01000052.nuc.gbk","","","","","","",""
"Acidaminococcus sp. BV3L6","Urogenital_tract","89623","2115","55","AWUR01000001","AWUR01000055","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89623/89623.AWUR01000001-AWUR01000055.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89623/89623.AWUR01000001-AWUR01000055.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89623/89623.AWUR01000001-AWUR01000055.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89623/89623.AWUR01000001-AWUR01000055.nuc.gbk","","","","","","",""
"Lactobacillus crispatus FB077-07","Urogenital_tract","52105","5286","133","AGZG01000001","AGZG01000133","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52105/52105.AGZG01000001-AGZG01000133.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52105/52105.AGZG01000001-AGZG01000133.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52105/52105.AGZG01000001-AGZG01000133.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52105/52105.AGZG01000001-AGZG01000133.nuc.gbk","10","JH932272","JH932281","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52105/52105.JH932272-JH932281.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52105/52105.JH932272-JH932281.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52105/52105.JH932272-JH932281.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52105/52105.JH932272-JH932281.nuc.gbk"
"[Clostridium] bolteae 90B8","Unknown","64853","11882","45","AGYG01000001","AGYG01000045","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64853/64853.AGYG01000001-AGYG01000045.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64853/64853.AGYG01000001-AGYG01000045.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64853/64853.AGYG01000001-AGYG01000045.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64853/64853.AGYG01000001-AGYG01000045.nuc.gbk","21","KB851138","KB851158","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64853/64853.KB851138-KB851158.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64853/64853.KB851138-KB851158.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64853/64853.KB851138-KB851158.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64853/64853.KB851138-KB851158.nuc.gbk"
